Name,Team,Pos,GMS,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,TB,AVG,OBP,SLG,OPS,ISO,PTS,FPPG,Projected_FPPG
Vladimir Guerrero Jr.,TOR,1B,58,206,44,69,11,1,18,47,36,37,1,0,136,0.335,0.441,0.66,1.101,0.325,839.3,14.470689655172412,11.312515716859252
Ronald Acuña Jr.,ATL,OF,54,198,48,57,10,1,18,38,33,50,11,4,123,0.28800000000000003,0.395,0.621,1.016,0.33299999999999996,832.6,15.41851851851852,11.245293445009363
Shohei Ohtani,LAA,OF,59,203,40,53,13,3,17,44,24,68,9,3,123,0.261,0.34600000000000003,0.606,0.952,0.345,786.0,13.322033898305087,10.53782893566692
Rafael Devers,BOS,3B,58,218,39,59,18,0,15,48,21,65,3,4,122,0.271,0.34,0.56,0.9,0.289,748.8,12.910344827586204,9.96618169700337
Austin Meadows,TB,OF,57,214,37,52,16,1,14,48,32,62,2,0,112,0.243,0.34700000000000003,0.523,0.87,0.28,739.4,12.971929824561405,9.867344645220383
Jesse Winker,CIN,OF,51,205,44,71,10,1,17,37,19,41,0,0,134,0.34600000000000003,0.407,0.654,1.061,0.308,735.3,14.417647058823528,10.852754980784386
Fernando Tatis Jr.,SD,SS,45,162,41,46,9,0,17,39,23,49,13,2,106,0.284,0.365,0.654,1.019,0.37,732.7,16.282222222222227,11.443213399032224
Marcus Semien,TOR,SS,58,233,39,68,13,1,13,32,25,64,8,0,122,0.292,0.362,0.524,0.8859999999999999,0.23199999999999998,728.8,12.565517241379311,9.560617170516938
Kris Bryant,CHC,3B,57,212,40,65,16,1,13,38,24,56,3,2,122,0.307,0.383,0.575,0.958,0.268,726.0,12.73684210526316,9.96583560361195
Mark Canha,OAK,OF,60,220,47,56,10,2,11,23,34,56,7,1,103,0.255,0.382,0.468,0.85,0.213,719.9,11.998333333333333,9.251205634348727
José Ramírez,CLE,3B,58,207,41,57,14,1,14,35,25,32,6,2,115,0.275,0.35700000000000004,0.556,0.913,0.281,718.7,12.391379310344828,9.62800575886807
J.D. Martinez,BOS,OF,55,213,41,68,16,0,12,39,23,51,0,0,120,0.319,0.387,0.563,0.95,0.244,699.7,12.721818181818184,9.851726630678602
Bo Bichette,TOR,SS,58,236,46,63,13,1,11,34,16,65,7,0,111,0.267,0.318,0.47,0.7879999999999999,0.203,695.2,11.986206896551723,9.055876620758466
Matt Olson,OAK,1B,56,201,38,55,14,0,15,40,26,39,0,1,114,0.274,0.363,0.5670000000000001,0.93,0.293,693.6,12.385714285714286,9.776374722031495
Nick Castellanos,CIN,OF,53,213,37,76,19,1,12,31,18,45,1,1,133,0.35700000000000004,0.412,0.624,1.036,0.267,691.9,13.054716981132074,10.092944966952908
Whit Merrifield,KC,2B,59,227,38,61,14,1,5,36,19,28,17,1,92,0.269,0.325,0.405,0.73,0.136,691.6,11.722033898305087,8.308363220969381
Max Muncy,LAD,1B,57,187,39,50,7,1,13,31,45,49,1,0,98,0.267,0.422,0.524,0.946,0.257,683.3,11.987719298245613,9.779757100194189
Cedric Mullins,BAL,OF,60,231,33,75,17,3,9,19,26,45,9,4,125,0.325,0.394,0.541,0.935,0.21600000000000003,682.1,11.368333333333334,8.935938696257736
Xander Bogaerts,BOS,SS,58,218,34,70,16,0,10,36,20,46,4,0,116,0.321,0.38,0.532,0.912,0.21100000000000002,672.8,11.6,9.184766904461432
Trea Turner,WSH,SS,57,231,31,72,11,0,10,30,14,52,13,2,113,0.312,0.35600000000000004,0.489,0.845,0.177,672.2,11.79298245614035,8.857089936196495
Chris Taylor,LAD,OF,55,186,45,51,8,3,8,33,30,55,6,0,89,0.274,0.392,0.478,0.87,0.204,670.5,12.190909090909093,9.417722412340952
Ozzie Albies,ATL,2B,56,214,36,54,19,3,9,37,22,40,5,1,106,0.252,0.329,0.495,0.8240000000000001,0.243,667.7,11.923214285714286,8.949624217511976
Mitch Haniger,SEA,OF,59,235,39,60,15,1,14,38,17,61,0,0,119,0.255,0.302,0.506,0.8079999999999999,0.251,665.8,11.284745762711866,8.906926576442032
Carlos Correa,HOU,SS,57,219,39,63,14,0,11,34,29,38,0,0,110,0.28800000000000003,0.3720000000000001,0.502,0.8740000000000001,0.214,663.8,11.645614035087716,9.06319957084283
Jared Walsh,LAA,1B,59,209,30,62,13,1,13,40,19,59,2,0,116,0.297,0.362,0.555,0.917,0.258,662.0,11.220338983050848,9.31969178387012
Trey Mancini,BAL,1B,58,221,33,61,13,0,11,45,23,54,0,0,107,0.276,0.348,0.484,0.8320000000000001,0.20800000000000002,659.1,11.363793103448277,8.945981648593165
Aaron Judge,NYY,OF,58,204,32,59,7,0,14,34,35,59,0,0,108,0.289,0.394,0.529,0.923,0.24,653.4,11.26551724137931,9.350233748425598
Kyle Tucker,HOU,OF,59,218,38,56,12,1,11,37,20,39,5,0,103,0.257,0.317,0.472,0.789,0.215,653.1,11.069491525423727,8.589783112187158
Freddie Freeman,ATL,1B,57,210,38,48,6,0,13,32,39,43,3,1,93,0.229,0.35200000000000004,0.443,0.795,0.214,650.6,11.4140350877193,8.807720392024159
Nolan Arenado,STL,3B,60,234,30,66,19,1,11,40,15,35,0,0,120,0.282,0.328,0.513,0.841,0.231,647.0,10.783333333333333,8.58334043526624
Adolis García,TEX,OF,52,199,29,55,4,1,16,43,10,58,7,4,109,0.276,0.313,0.5479999999999999,0.861,0.272,645.3,12.409615384615385,9.4080172593848
Yuli Gurriel,HOU,1B,55,201,27,67,16,0,8,42,27,21,1,1,107,0.333,0.406,0.532,0.938,0.19899999999999998,644.4,11.716363636363635,9.069140944656287
Brandon Crawford,SF,SS,52,167,35,45,9,0,14,41,23,45,3,0,96,0.269,0.363,0.575,0.938,0.306,636.5,12.240384615384615,9.972838392250477
Carlos Santana,KC,1B,59,200,34,48,4,0,10,36,43,36,2,0,82,0.24,0.376,0.41,0.7859999999999999,0.17,630.8,10.691525423728812,8.39471694878699
Eduardo Escobar,ARI,3B,60,238,33,57,8,1,14,41,16,58,1,0,109,0.239,0.28600000000000003,0.458,0.7440000000000001,0.21899999999999997,630.1,10.501666666666667,8.379139339669447
Rhys Hoskins,PHI,1B,59,222,33,57,14,0,12,35,20,67,2,0,107,0.257,0.325,0.482,0.807,0.225,630.1,10.679661016949153,8.68023224025484
Randy Arozarena,TB,OF,58,225,39,57,10,0,7,27,25,72,9,2,88,0.253,0.34,0.391,0.731,0.138,627.3,10.815517241379311,8.293872275366933
Bryan Reynolds,PIT,OF,57,206,35,59,17,0,9,28,31,52,0,1,103,0.28600000000000003,0.388,0.5,0.888,0.214,621.0,10.894736842105265,8.901853315811667
Ryan McMahon,COL,2B,60,218,37,55,12,0,13,33,17,56,3,1,106,0.252,0.304,0.486,0.79,0.23399999999999999,620.9,10.348333333333333,8.485282786397114
Javier Báez,CHC,SS,54,204,32,49,5,1,14,39,7,80,9,1,98,0.24,0.276,0.48,0.7559999999999999,0.24,619.9,11.479629629629631,8.806140997334325
José Abreu,CHW,1B,55,198,28,50,7,1,11,46,22,58,1,0,92,0.253,0.338,0.465,0.8029999999999999,0.212,616.6,11.210909090909093,8.770818917077317
Adam Frazier,PIT,2B,58,233,35,77,21,3,2,24,20,28,3,4,110,0.33,0.391,0.472,0.863,0.142,616.0,10.620689655172416,8.176545855682065
Randal Grichuk,TOR,OF,58,220,28,61,14,0,12,43,10,49,0,2,111,0.277,0.31,0.505,0.815,0.228,606.1,10.45,8.480634868805828
Joey Gallo,TEX,OF,59,195,32,41,5,0,11,27,46,79,4,0,79,0.21,0.369,0.405,0.774,0.195,604.9,10.252542372881356,8.496853087887215
Salvador Perez,KC,C,59,230,26,64,11,0,14,40,6,60,0,0,117,0.278,0.307,0.509,0.816,0.231,604.2,10.240677966101694,8.483927703504957
Yoán Moncada,CHW,3B,58,202,30,59,12,0,5,30,40,69,1,1,86,0.292,0.419,0.426,0.845,0.134,600.0,10.344827586206897,8.438093408645017
Justin Turner,LAD,3B,57,207,37,55,10,0,9,30,31,48,0,0,92,0.266,0.361,0.444,0.805,0.17800000000000002,595.4,10.445614035087717,8.387190182190261
Jesús Aguilar,MIA,1B,58,204,23,55,10,0,12,46,18,40,0,0,101,0.27,0.32299999999999995,0.495,0.818,0.225,594.6,10.251724137931037,8.383116875805694
Robbie Grossman,DET,OF,57,206,29,48,11,2,6,25,38,60,8,2,81,0.233,0.353,0.393,0.746,0.16,594.3,10.426315789473684,7.992606718364371
Tommy Edman,STL,SS,61,255,33,68,14,2,4,18,16,32,12,2,98,0.267,0.316,0.384,0.7,0.11699999999999999,591.6,9.698360655737703,7.3819407787791524
Isiah Kiner-Falefa,TEX,3B,62,247,33,72,11,2,5,23,8,42,10,1,102,0.29100000000000004,0.326,0.413,0.7390000000000001,0.122,591.1,9.533870967741935,7.58174766188604
Austin Riley,ATL,OF,57,192,32,60,10,0,11,27,22,63,0,0,103,0.312,0.395,0.536,0.931,0.22399999999999998,589.9,10.349122807017544,9.009860225854492
José Altuve,HOU,2B,49,202,39,60,6,0,9,27,24,34,2,1,93,0.297,0.368,0.46,0.828,0.163,585.3,11.944897959183672,8.662798257191767
Manny Machado,SD,3B,55,200,28,47,8,2,8,36,28,43,6,3,83,0.235,0.325,0.415,0.74,0.18,584.6,10.629090909090909,8.051032492530911
Alex Verdugo,BOS,OF,56,209,36,61,11,1,8,26,18,28,4,0,98,0.292,0.35100000000000003,0.469,0.82,0.177,584.2,10.43214285714286,8.230845293304109
Nate Lowe,TEX,1B,62,224,27,54,7,0,8,31,35,74,4,0,85,0.241,0.345,0.379,0.7240000000000001,0.138,581.9,9.38548387096774,7.776010209097169
Mookie Betts,LAD,OF,50,199,32,51,18,2,5,21,29,36,5,3,88,0.256,0.369,0.442,0.8109999999999999,0.18600000000000003,577.9,11.558,8.403000098111571
Kyle Seager,SEA,3B,62,229,23,49,14,1,11,36,21,62,2,0,98,0.214,0.285,0.428,0.713,0.214,577.6,9.316129032258065,7.732013822898474
Nick Solak,TEX,2B,62,232,36,55,10,2,8,26,16,68,2,1,93,0.237,0.31,0.401,0.711,0.16399999999999998,572.2,9.229032258064516,7.689054727796559
Paul Goldschmidt,STL,1B,59,227,33,57,12,1,7,29,22,57,3,0,92,0.251,0.319,0.405,0.7240000000000001,0.154,570.1,9.662711864406779,7.769645900454933
Jake Cronenworth,SD,SS,62,236,38,66,13,1,5,18,21,36,3,1,96,0.28,0.34700000000000003,0.407,0.754,0.127,565.6,9.122580645161289,7.470556568772504
Ramón Laureano,OAK,OF,48,183,30,47,8,2,11,22,17,55,8,3,92,0.257,0.332,0.503,0.835,0.24600000000000002,560.0,11.666666666666664,8.824895158884642
Avisaíl García,MIL,OF,54,186,29,46,6,0,12,34,16,53,4,2,88,0.247,0.319,0.473,0.792,0.226,559.8,10.366666666666664,8.425558447971307
Alex Bregman,HOU,3B,52,203,33,58,12,0,6,29,27,35,0,0,88,0.28600000000000003,0.375,0.433,0.8079999999999999,0.147,558.1,10.732692307692307,8.230622257471984
Andrew McCutchen,PHI,OF,54,192,27,43,7,1,10,29,33,59,3,0,82,0.224,0.335,0.4270000000000001,0.762,0.203,553.9,10.257407407407406,8.17522864137472
Joey Wendle,TB,2B,56,182,35,51,16,1,6,27,13,42,4,4,87,0.28,0.343,0.478,0.821,0.198,545.5,9.741071428571429,8.123308116045504
Justin Upton,LAA,OF,52,180,29,41,7,0,14,29,22,63,2,1,90,0.228,0.312,0.5,0.812,0.272,545.3,10.486538461538462,8.684041586797454
Dylan Carlson,STL,OF,59,210,31,57,10,2,6,26,25,58,0,0,89,0.271,0.354,0.424,0.778,0.153,544.2,9.223728813559324,7.7444244795080905
Raimel Tapia,COL,OF,59,222,29,62,10,0,5,31,17,33,5,3,87,0.279,0.328,0.392,0.72,0.113,543.3,9.208474576271186,7.316160739025248
Anthony Rizzo,CHC,1B,54,191,26,51,12,2,6,26,26,26,4,0,85,0.267,0.362,0.445,0.807,0.17800000000000002,543.2,10.05925925925926,7.946488612748795
Tyler Naquin,CIN,OF,52,170,20,44,9,0,11,38,16,47,4,1,86,0.259,0.333,0.506,0.8390000000000001,0.247,539.0,10.365384615384617,8.58403387413574
Tim Anderson,CHW,SS,47,196,34,59,8,0,6,23,10,51,10,5,85,0.301,0.337,0.434,0.7709999999999999,0.133,537.3,11.43191489361702,8.161654948319955
Andrew Benintendi,KC,OF,55,201,27,58,6,1,6,29,17,41,7,6,84,0.289,0.344,0.418,0.762,0.129,535.9,9.743636363636364,7.624191009199202
Pavin Smith,ARI,1B,59,216,34,63,13,3,5,21,16,37,1,0,97,0.292,0.345,0.449,0.794,0.157,533.3,9.038983050847456,7.585553983664767
Garrett Hampson,COL,2B,58,197,33,48,13,4,5,16,16,50,11,2,84,0.244,0.301,0.426,0.727,0.182,530.6,9.148275862068964,7.406465356642603
Brandon Lowe,TB,2B,57,203,31,39,6,0,10,25,28,73,3,1,75,0.192,0.304,0.369,0.6729999999999999,0.177,528.7,9.275438596491231,7.620148510572224
Yordan Alvarez,HOU,OF,47,183,32,54,13,1,8,30,8,52,0,0,93,0.295,0.342,0.508,0.85,0.213,528.4,11.24255319148936,8.707552498946974
Evan Longoria,SF,3B,50,161,28,45,11,0,9,30,25,42,1,1,83,0.28,0.376,0.516,0.892,0.23600000000000002,524.6,10.492,8.840724336509462
Dansby Swanson,ATL,SS,58,214,25,50,12,1,10,27,15,65,2,3,94,0.234,0.289,0.439,0.728,0.205,522.5,9.00862068965517,7.559580413867397
Willson Contreras,CHC,C,55,184,29,45,5,0,10,25,22,60,3,2,80,0.245,0.341,0.435,0.7759999999999999,0.19,522.3,9.496363636363636,7.991591775453052
Eugenio Suárez,CIN,3B,57,219,31,35,7,0,13,30,19,75,0,0,81,0.16,0.235,0.37,0.605,0.21,513.2,9.003508771929825,7.396158267146851
Cesar Hernández,CLE,2B,57,223,33,49,8,1,9,20,25,51,0,0,86,0.22,0.3,0.386,0.6859999999999999,0.166,511.6,8.975438596491227,7.3563285841837285
Juan Soto,WSH,OF,47,161,29,45,4,1,7,25,36,29,1,4,72,0.28,0.409,0.447,0.856,0.16699999999999998,510.3,10.85744680851064,8.411533022343589
Nelson Cruz,MIN,OF,51,175,27,49,7,1,10,25,19,40,1,0,88,0.28,0.355,0.503,0.858,0.223,509.9,9.998039215686276,8.386660263721552
Charlie Blackmon,COL,OF,57,186,24,51,12,1,4,32,24,27,0,0,77,0.274,0.375,0.414,0.789,0.14,509.8,8.943859649122807,7.5244647493464605
Freddy Galvis,BAL,SS,55,189,31,49,11,1,9,23,17,44,1,0,89,0.259,0.325,0.471,0.7959999999999999,0.212,509.7,9.267272727272726,7.906900714892071
Tyler O'Neill,STL,OF,42,147,26,41,9,0,13,29,5,53,5,1,89,0.279,0.314,0.605,0.919,0.326,505.7,12.04047619047619,9.53933619810858
Jorge Polanco,MIN,SS,55,202,29,48,13,1,6,24,20,40,3,1,81,0.238,0.308,0.401,0.7090000000000001,0.163,503.8,9.16,7.319670677772497
David Peralta,ARI,OF,58,211,25,52,12,5,4,30,18,39,1,1,86,0.246,0.306,0.408,0.7140000000000001,0.162,503.0,8.672413793103447,7.134852679610951
Trevor Story,COL,SS,50,184,26,47,12,2,5,23,18,46,8,4,78,0.255,0.322,0.424,0.746,0.16899999999999998,502.7,10.054,7.667769577618543
Ryan Mountcastle,BAL,OF,55,202,24,51,12,1,8,31,7,67,3,1,89,0.252,0.28,0.441,0.721,0.18899999999999997,497.3,9.041818181818183,7.513788328258965
Jed Lowrie,OAK,2B,58,203,27,51,15,0,4,28,25,47,0,0,78,0.251,0.333,0.384,0.7170000000000001,0.133,493.4,8.506896551724138,7.174028996495608
Jonathan Schoop,DET,2B,57,214,23,55,7,1,9,27,15,53,0,0,91,0.257,0.309,0.425,0.7340000000000001,0.168,492.1,8.633333333333333,7.348332778359417
Eric Hosmer,SD,1B,55,206,19,55,8,0,5,33,16,34,4,1,78,0.267,0.324,0.379,0.703,0.11199999999999999,488.3,8.878181818181819,7.076057839782405
Yermin Mercedes,CHW,C,56,196,20,57,7,1,7,31,17,36,0,1,87,0.29100000000000004,0.349,0.444,0.7929999999999999,0.153,487.5,8.705357142857142,7.463575105146251
Tommy Pham,SD,OF,59,171,23,38,3,2,4,19,38,43,9,2,57,0.222,0.366,0.333,0.6990000000000001,0.111,485.1,8.222033898305085,6.833856167883387
Manuel Margot,TB,OF,55,196,21,48,8,2,6,33,10,32,6,4,78,0.245,0.28,0.398,0.6779999999999999,0.153,482.7,8.776363636363635,6.929839894240694
Teoscar Hernández,TOR,OF,42,164,23,49,5,0,8,31,14,48,4,2,78,0.299,0.354,0.476,0.83,0.177,482.1,11.47857142857143,8.487759974522836
Buster Posey,SF,C,41,149,28,50,6,0,10,22,18,28,0,0,86,0.336,0.411,0.5770000000000001,0.988,0.24100000000000002,481.6,11.746341463414636,9.424705018446556
Josh Rojas,ARI,3B,57,190,29,48,12,1,7,17,22,56,2,0,83,0.253,0.329,0.4370000000000001,0.7659999999999999,0.184,479.3,8.408771929824562,7.445576065179578
Bryce Harper,PHI,OF,41,146,28,40,8,0,8,15,27,47,5,0,72,0.274,0.398,0.493,0.8909999999999999,0.21899999999999997,478.1,11.6609756097561,8.98527512929956
DJ LeMahieu,NYY,2B,57,227,33,58,7,0,3,15,27,46,2,0,74,0.256,0.335,0.326,0.6609999999999999,0.07,476.1,8.352631578947369,6.795809561682524
Eddie Rosario,CLE,OF,55,201,19,49,8,1,4,32,14,36,7,1,71,0.244,0.295,0.353,0.648,0.109,472.8,8.596363636363636,6.730424760074902
Pete Alonso,NYM,1B,44,157,27,40,7,0,9,28,19,41,0,0,74,0.255,0.343,0.471,0.8140000000000001,0.21600000000000003,472.4,10.736363636363636,8.403942275735437
J.P. Crawford,SEA,SS,61,209,26,57,14,0,3,21,20,39,2,2,80,0.273,0.336,0.383,0.7190000000000001,0.11,471.7,7.732786885245901,6.705167998128956
Miguel Rojas,MIA,SS,47,171,32,47,14,2,3,16,17,28,4,1,74,0.275,0.354,0.433,0.787,0.158,467.4,9.94468085106383,7.715672078993571
Jeimer Candelario,DET,3B,57,218,27,58,13,0,4,18,22,63,0,0,83,0.266,0.336,0.381,0.7170000000000001,0.115,467.4,8.2,7.0680434174985
J.T. Realmuto,PHI,C,43,136,22,40,8,1,6,24,23,39,4,2,68,0.294,0.41,0.5,0.91,0.20600000000000002,466.4,10.846511627906976,8.797193953376485
Matt Chapman,OAK,3B,61,204,22,42,6,2,5,24,33,78,1,0,67,0.206,0.31,0.328,0.638,0.122,463.4,7.5967213114754095,6.607700380074415
Nick Madrigal,CHW,2B,53,197,30,60,9,4,2,20,11,17,1,2,83,0.305,0.349,0.421,0.77,0.11599999999999999,463.0,8.735849056603774,7.083165084443201
Franmil Reyes,CLE,OF,40,144,21,37,9,2,11,29,12,48,1,0,83,0.257,0.316,0.5760000000000001,0.892,0.319,462.7,11.5675,9.168849977993087
Adam Duvall,MIA,OF,52,184,20,38,6,1,9,35,11,63,3,0,73,0.207,0.254,0.397,0.6509999999999999,0.19,459.5,8.836538461538463,7.186596448721458
Josh Donaldson,MIN,3B,47,163,25,41,11,0,7,22,26,30,0,0,73,0.252,0.35100000000000003,0.448,0.799,0.196,457.0,9.723404255319151,7.868575965792166
Mike Trout,LAA,OF,36,117,23,39,8,1,8,18,27,41,2,0,73,0.333,0.466,0.624,1.09,0.29100000000000004,454.6,12.627777777777776,10.433673443092163
Kyle Schwarber,WSH,OF,49,183,20,40,8,0,9,25,20,61,1,1,75,0.219,0.309,0.41,0.7190000000000001,0.191,454.5,9.275510204081634,7.575312443478238
Hunter Renfroe,BOS,OF,51,179,29,46,12,0,7,25,12,47,0,1,79,0.257,0.301,0.441,0.742,0.184,453.3,8.88823529411765,7.449935375772604
Jurickson Profar,SD,2B,56,184,29,41,6,1,1,17,28,36,9,1,52,0.223,0.329,0.28300000000000003,0.612,0.06,452.3,8.076785714285714,6.297030711767455
Maikel Franco,BAL,3B,57,221,19,46,14,0,7,31,13,35,0,0,81,0.208,0.251,0.3670000000000001,0.618,0.159,451.3,7.917543859649122,6.542907507489369
Will Smith,LAD,C,49,157,29,42,10,1,5,19,21,33,1,0,69,0.268,0.362,0.439,0.8009999999999999,0.171,447.3,9.128571428571428,7.679205798201874
Yandy Díaz,TB,3B,56,190,22,49,7,0,1,21,40,32,0,0,59,0.258,0.391,0.311,0.7020000000000001,0.053,446.9,7.980357142857143,6.590635016872513
Willy Adames,MIL,SS,57,188,22,40,8,1,8,26,18,68,1,2,74,0.213,0.282,0.394,0.6759999999999999,0.18100000000000002,443.4,7.778947368421052,6.930914836540518
Yasmani Grandal,CHW,C,42,114,28,18,2,0,9,21,46,43,0,0,47,0.158,0.395,0.412,0.807,0.254,442.1,10.526190476190477,8.726438018296145
Francisco Lindor,NYM,SS,52,195,30,42,7,1,5,13,24,37,4,1,66,0.215,0.305,0.338,0.643,0.12300000000000001,441.5,8.490384615384615,6.714113915751533
Gleyber Torres,NYY,SS,52,189,19,52,8,0,3,23,23,38,4,2,69,0.275,0.35200000000000004,0.365,0.7170000000000001,0.09,441.3,8.486538461538462,6.871983423062037
Amed Rosario,CLE,SS,51,176,28,45,5,4,4,18,15,37,5,0,70,0.256,0.318,0.398,0.716,0.142,440.6,8.639215686274511,7.042685464915859
Adam Eaton,CHW,OF,49,158,28,32,7,2,5,27,17,48,2,0,58,0.203,0.304,0.3670000000000001,0.6709999999999999,0.16399999999999998,439.1,8.961224489795919,7.194400399921598
Ty France,SEA,3B,52,188,25,46,14,0,3,21,18,40,0,0,69,0.245,0.335,0.3670000000000001,0.7020000000000001,0.122,438.5,8.432692307692307,6.950039841353323
Gio Urshela,NYY,3B,53,198,17,53,11,0,6,26,13,53,1,0,82,0.268,0.311,0.414,0.725,0.146,436.4,8.233962264150943,7.042192900455422
Luis Urías,MIL,2B,55,164,18,37,9,0,7,25,25,47,2,0,67,0.226,0.328,0.409,0.737,0.183,436.1,7.92909090909091,7.138628384773612
Sean Murphy,OAK,C,50,164,16,36,13,0,6,32,16,49,0,0,67,0.22,0.314,0.409,0.723,0.18899999999999997,433.2,8.664,7.34501685343293
Mike Yastrzemski,SF,OF,45,158,25,35,15,2,6,15,23,45,1,0,72,0.222,0.332,0.456,0.7879999999999999,0.23399999999999999,432.5,9.611111111111109,7.927343491502244
