,Name,Team,Pos,W,L,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,PTS,ERA,AVG,WHIP,FPPG,Projected_FPPG
333,Scott Alexander,LAD,RP,0,2,13,0,0,11.2,7,4,3,1,1,5,41,2.31,0.163,0.69,3.1538461538461537,10.305695820467518
334,Logan Allen,CLE,RP,1,4,5,5,0,15.2,20,18,16,7,7,12,41,9.19,0.303,1.72,8.2,17.14374653066176
335,Travis Lakins Sr.,BAL,RP,1,2,10,0,0,8.2,4,3,2,1,6,5,41,2.08,0.133,1.15,4.1,17.924123035324094
336,Dillon Tate,BAL,RP,0,1,10,0,0,11.2,8,5,4,2,2,6,41,3.09,0.195,0.86,4.1,11.645483920408271
337,Tyler Wells,BAL,SP,0,0,6,0,0,9.2,8,7,7,4,3,11,41,6.52,0.222,1.14,6.833333333333332,11.836388015393949
338,Nate Jones,ATL,RP,0,2,12,0,0,10.1,8,6,4,3,10,7,40,3.48,0.195,1.74,3.333333333333333,21.952558387279083
339,Pierce Johnson,SD,RP,0,1,9,0,0,7.1,7,4,4,0,2,10,40,4.91,0.25,1.23,4.4444444444444455,10.503171161153563
340,Justin Steele,CHC,SP,0,0,5,0,0,6.1,6,4,3,2,1,10,40,4.26,0.24,1.11,8.0,10.012902177494556
341,Josh Taylor,BOS,RP,0,0,11,0,0,10.1,18,9,9,1,5,12,40,7.84,0.375,2.23,3.636363636363636,11.765943954868352
342,Alex Lange,DET,SP,0,0,8,0,0,7.1,8,4,4,2,2,10,40,4.91,0.267,1.36,5.0,10.369416848541503
343,Paul Campbell,MIA,SP,0,2,5,1,0,11.1,19,14,11,1,6,13,40,8.74,0.365,2.21,8.0,14.128808345446384
344,Tyler Zuber,KC,RP,0,0,7,0,0,8.1,5,4,4,1,3,9,40,4.32,0.16699999999999998,0.96,5.7142857142857135,12.990765292491549
345,Brandon Workman,CHC,RP,0,2,10,0,0,8.0,12,9,6,2,7,11,39,6.75,0.324,2.38,3.9,15.22876622186961
346,Daniel Bard,COL,RP,1,2,10,0,2,9.0,16,10,9,2,5,11,39,9.0,0.35600000000000004,2.33,3.9,11.362451012344561
347,Zach Pop,MIA,RP,0,0,8,0,0,9.0,6,7,7,2,4,11,39,7.0,0.182,1.11,4.875,12.900987924705372
348,Nick Margevicius,SEA,RP,0,2,5,3,0,12.0,13,16,11,2,7,12,39,8.25,0.25,1.67,7.8,17.076314827482534
349,Victor González,LAD,SP,0,0,12,0,1,9.0,8,2,2,0,6,6,39,2.0,0.235,1.56,3.25,16.80679466045469
350,Brett De Geus,TEX,RP,0,0,9,0,0,12.0,9,9,9,1,6,10,39,6.75,0.22,1.25,4.333333333333333,15.710058945788605
351,Heath Hembree,CIN,RP,0,0,5,0,0,5.2,0,0,0,0,2,7,38,0.0,0.0,0.35,7.6,14.727178464361424
352,Anthony Bass,MIA,RP,1,2,11,0,0,9.2,10,6,6,2,2,7,38,5.59,0.303,1.24,3.4545454545454546,9.873232993460716
353,Bryan Garcia,DET,RP,0,0,9,0,2,9.2,8,6,6,1,7,9,38,5.59,0.21600000000000005,1.55,4.222222222222221,17.196233548751763
354,Ben Rowen,LAA,RP,0,0,7,0,0,9.1,8,4,3,1,2,6,37,2.89,0.235,1.07,5.285714285714286,11.809948520156858
355,Randy Dobnak,MIN,RP,0,3,7,0,1,14.1,18,14,13,4,3,11,37,8.16,0.295,1.47,5.285714285714286,10.479818469660934
356,Sean Reid-Foley,NYM,SP,0,0,2,0,0,5.0,2,0,0,0,0,7,36,0.0,0.125,0.4,18.0,12.06506026726232
357,Ryan Hendrix,CIN,RP,2,0,5,0,0,3.0,0,0,0,0,3,5,36,0.0,0.0,1.0,7.2,15.441227760068779
358,Hyeon-Jong Yang,TEX,SP,0,0,2,0,0,8.2,6,2,2,1,1,5,35,2.08,0.188,0.81,17.5,11.85050438240376
359,Wil Crowe,PIT,SP,0,1,3,2,0,9.2,8,5,5,1,8,7,35,4.66,0.229,1.66,11.666666666666664,20.279636839978963
360,Sam Clay,WSH,RP,0,0,9,0,0,8.1,6,4,4,1,4,7,34,4.32,0.194,1.2,3.7777777777777777,13.676884503312076
361,Julian Merryweather,TOR,SP,0,0,4,0,2,4.1,1,0,0,0,1,7,34,0.0,0.067,0.46,8.5,13.135208632828704
362,Daniel Castano,MIA,SP,0,1,3,3,0,13.1,14,7,7,2,5,5,34,4.73,0.275,1.43,11.333333333333336,16.14654019650091
363,Jacob Webb,ATL,RP,0,1,8,0,0,8.1,12,8,7,3,2,10,34,7.56,0.316,1.68,4.25,8.537464691098155
364,Evan Marshall,CHW,RP,0,1,10,0,0,12.0,13,9,9,3,3,8,33,6.75,0.277,1.33,3.3,10.688205436851835
365,Julio Teheran,DET,SP,2,0,1,1,0,5.0,4,1,1,1,3,3,33,1.8,0.235,1.4,33.0,14.655690165702845
366,Aaron Northcraft,SD,RP,1,0,4,0,0,6.0,4,2,2,1,6,5,33,3.0,0.2,1.67,8.25,17.48992405627626
367,Matt Moore,PHI,SP,0,1,3,3,0,11.0,17,13,12,4,9,12,33,9.82,0.354,2.36,11.0,18.501274786958582
368,Matt Wisler,SF,RP,0,2,12,0,0,9.0,10,10,10,2,4,12,33,10.0,0.28600000000000003,1.56,2.75,10.152761753763219
369,Max Fried,ATL,SP,0,1,3,3,0,11.0,23,15,14,3,5,14,33,11.46,0.426,2.55,11.0,11.380462146464874
370,Nick Neidert,MIA,SP,0,1,3,3,0,12.0,13,9,9,3,11,8,33,6.75,0.289,2.0,11.0,23.509947691146373
371,Bryse Wilson,ATL,SP,1,2,3,3,0,12.0,18,10,9,4,5,6,33,6.75,0.3670000000000001,1.92,11.0,14.535327321943093
372,Joely Rodríguez,TEX,RP,0,1,6,0,0,5.2,6,2,2,0,1,7,32,3.18,0.273,1.24,5.333333333333333,10.064850075298073
373,Michael Feliz,PIT,RP,0,0,6,0,0,5.2,7,3,2,0,1,7,32,3.18,0.292,1.41,5.333333333333333,9.730865184698684
374,Robert Gsellman,NYM,RP,0,0,5,0,0,7.2,5,4,2,0,2,5,32,2.35,0.185,0.91,6.4,12.549266154679717
375,Sam Hentges,CLE,SP,1,0,3,0,0,5.2,8,4,3,3,0,6,32,4.77,0.32,1.41,10.666666666666666,7.974123029606429
376,Joey Lucchesi,NYM,SP,0,2,4,3,0,10.2,14,12,12,2,3,12,32,10.13,0.326,1.59,8.0,10.357756173626795
377,Cionel Pérez,CIN,RP,1,2,10,0,0,8.2,6,10,8,1,8,8,32,8.31,0.171,1.62,3.2,17.263616002507277
378,Taylor Williams,SD,RP,0,0,5,0,0,5.1,3,1,1,0,3,6,31,1.69,0.16699999999999998,1.13,6.2,14.10360713691784
379,Sal Romano,CIN,RP,0,0,10,0,0,15.1,17,13,12,4,8,7,31,7.04,0.274,1.63,3.1,17.584100746309897
380,Wander Suero,WSH,RP,0,0,8,0,0,6.1,3,1,1,0,3,5,31,1.42,0.136,0.95,3.875,14.004647027538377
381,Tanner Rainey,WSH,RP,0,1,9,0,0,8.1,8,6,6,2,4,8,31,6.48,0.25,1.44,3.4444444444444446,12.285191671621595
382,Patrick Weigel,MIL,RP,0,0,2,0,0,3.1,3,0,0,0,3,7,31,0.0,0.231,1.8,15.5,14.37886633514731
383,Jhoulys Chacín,COL,SP,0,1,5,0,0,9.0,11,6,6,1,6,7,30,6.0,0.314,1.89,6.0,15.476727582664182
384,Brandon Kintzler,PHI,RP,1,1,9,0,0,9.0,12,9,8,3,1,7,30,8.0,0.316,1.44,3.333333333333333,7.050360377301905
385,Jake Odorizzi,HOU,SP,0,2,3,3,0,8.0,10,9,9,3,3,11,30,10.13,0.294,1.63,10.0,10.364405891494766
386,Eric Lauer,MIL,SP,1,0,1,1,0,5.0,4,0,0,0,2,3,30,0.0,0.222,1.2,30.0,14.150726483477948
387,Joe Smith,HOU,RP,1,1,11,0,0,7.2,14,8,8,2,2,8,29,9.39,0.4,2.09,2.636363636363636,6.570279591098369
388,Sergio Romo,OAK,RP,0,0,12,0,0,10.2,12,9,9,1,5,8,29,7.59,0.279,1.59,2.4166666666666665,12.528633875674954
389,Austin Brice,BOS,RP,0,0,8,0,0,7.2,7,3,3,1,5,5,29,3.52,0.25,1.57,3.625,15.01552952559365
390,Jason Adam,CHC,RP,0,0,8,0,0,6.2,7,7,7,1,6,10,29,9.45,0.269,1.95,3.625,13.275000452540313
391,Dennis Santana,LAD,RP,0,0,9,0,0,7.2,8,4,4,0,5,6,29,4.7,0.267,1.7,3.2222222222222223,14.13682918758199
392,Luis Oviedo,PIT,SP,0,1,5,0,0,8.2,7,7,7,2,6,8,29,7.27,0.219,1.5,5.8,15.497635235512826
393,Luis Patiño,TB,SP,0,0,2,1,0,4.2,1,0,0,0,1,5,29,0.0,0.067,0.43,14.5,13.574026369635892
394,Camilo Doval,SF,RP,0,0,7,0,0,6.2,4,4,4,2,3,7,29,5.4,0.174,1.05,4.142857142857143,12.104146345880894
395,Jarlin García,SF,RP,0,1,5,0,0,6.1,4,7,6,2,5,9,28,8.53,0.16699999999999998,1.42,5.6,13.487188373995807
396,Ben Bowden,COL,RP,0,2,11,0,0,8.1,14,9,8,1,3,9,28,8.64,0.341,2.04,2.5454545454545454,8.471967164208818
397,JoJo Romero,PHI,SP,0,0,9,0,0,7.1,9,6,5,3,3,7,28,6.14,0.29,1.64,3.111111111111111,10.436075341032497
398,Ervin Santana,KC,SP,0,0,3,1,0,9.0,8,4,4,2,2,4,27,4.0,0.235,1.11,9.0,11.89247026465775
399,T.J. Zeuch,TOR,SP,0,2,4,2,0,12.0,16,13,9,5,7,6,27,6.75,0.32,1.92,6.75,16.961993939724927
400,Wade Davis,KC,RP,0,0,9,0,1,8.2,9,8,8,1,5,8,26,8.31,0.29,1.62,2.888888888888889,12.576090183358872
401,Justin Wilson,NYY,RP,0,0,8,0,0,6.2,7,4,4,1,4,6,26,5.4,0.259,1.65,3.25,12.46098908389076
402,Andrew Miller,STL,RP,0,0,9,0,0,7.1,12,7,7,2,4,8,25,8.59,0.364,2.18,2.7777777777777777,9.970183223626645
403,Daniel Norris,DET,SP,0,1,9,0,0,8.1,12,6,6,1,2,6,25,6.48,0.364,1.68,2.7777777777777777,8.722322233717765
404,Nick Wittgren,CLE,RP,0,1,8,0,1,7.1,8,6,6,1,4,7,25,7.36,0.28600000000000003,1.64,3.125,11.620316857567898
405,Grant Dayton,ATL,RP,0,0,7,0,0,7.1,7,5,5,1,3,6,25,6.14,0.241,1.36,3.571428571428572,11.212732525896255
406,Paolo Espino,WSH,RP,0,1,3,1,0,6.1,5,2,2,2,1,4,25,2.84,0.217,0.95,8.333333333333334,11.16475955563749
407,Spencer Howard,PHI,SP,0,0,3,0,0,4.1,6,4,4,0,2,8,25,8.31,0.316,1.85,8.333333333333334,8.572094800707193
408,Jacob Barnes,NYM,RP,1,0,6,0,0,7.0,6,5,5,2,2,4,24,6.43,0.214,1.14,4.0,10.117231295914321
409,Erik Swanson,SEA,RP,0,0,2,1,0,4.0,0,0,0,0,1,4,24,0.0,0.0,0.25,12.0,13.789774034028676
410,Eric Yardley,MIL,RP,0,0,10,0,0,11.0,14,7,7,2,4,4,24,5.73,0.311,1.64,2.4,11.92482825296477
411,Oliver Pérez,CLE,RP,0,1,5,0,0,3.2,5,1,0,0,1,4,23,0.0,0.278,1.64,4.6,10.908532648559264
412,Brett Martin,TEX,RP,0,0,7,0,0,7.2,11,5,4,1,1,4,23,4.7,0.324,1.57,3.2857142857142856,8.37711424885623
413,Wes Benjamin,TEX,SP,0,1,3,0,0,5.2,4,3,3,1,6,5,23,4.77,0.211,1.77,7.666666666666668,16.417861759588625
414,Devin Smeltzer,MIN,SP,0,0,1,0,0,4.2,1,1,0,0,1,3,23,0.0,0.077,0.43,23.0,13.401965962910278
415,Matt Peacock,ARI,SP,1,0,6,0,0,8.2,10,10,8,2,3,5,23,8.31,0.27,1.5,3.8333333333333335,10.153918821836585
416,Mike Fiers,OAK,SP,0,1,1,1,0,6.0,6,3,3,2,2,3,22,4.5,0.261,1.33,22.0,11.518810313625597
417,Chris Archer,TB,SP,0,1,2,1,0,4.1,7,4,3,0,1,6,22,6.23,0.35,1.85,11.0,8.313419415086317
418,Tyler Webb,STL,RP,0,0,11,0,0,8.1,7,9,9,1,8,8,22,9.72,0.219,1.8,2.0,15.853703715166235
419,Cody Reed,TB,SP,0,1,6,0,0,4.1,4,2,1,1,3,4,22,2.08,0.25,1.62,3.6666666666666665,12.814466683042674
420,Kyle McGowin,WSH,RP,0,0,7,0,0,7.1,5,4,4,1,5,4,22,4.91,0.185,1.36,3.1428571428571432,14.76243822566678
421,A.J. Puk,OAK,RP,0,0,1,0,0,3.1,1,0,0,0,3,4,22,0.0,0.091,1.2,22.0,15.294350761799885
422,Kyle Wright,ATL,SP,0,0,1,1,0,4.1,3,2,2,1,2,5,22,4.15,0.214,1.15,22.0,12.042384840581585
423,Pedro Strop,CHC,RP,1,0,2,0,0,2.0,2,0,0,0,2,3,21,0.0,0.25,2.0,10.5,12.467697834835997
424,Tanner Roark,TOR,SP,0,1,3,1,0,7.0,7,7,5,3,2,5,21,6.43,0.241,1.29,7.0,10.384518484488742
425,Jake Woodford,STL,SP,0,0,2,0,0,4.0,3,2,2,0,4,5,21,4.5,0.231,1.75,10.5,13.656928519916258
426,J.B. Bukauskas,ARI,SP,1,0,6,0,0,4.0,6,4,4,0,1,5,21,9.0,0.333,1.75,3.5,6.392987457184995
427,Shane McClanahan,TB,SP,0,0,1,1,0,4.0,5,2,2,1,0,5,21,4.5,0.333,1.25,21.0,8.64986540607604
428,Josh Lindblom,MIL,RP,0,0,5,0,0,10.2,17,13,13,4,7,9,20,10.97,0.354,2.25,4.0,13.923121570398573
429,Buck Farmer,DET,RP,0,0,10,0,0,9.2,12,13,13,5,8,10,20,12.1,0.293,2.07,2.0,14.414796499330471
430,Mac Sceroler,BAL,SP,0,0,2,0,0,3.2,5,3,3,2,3,6,20,7.36,0.294,2.18,10.0,10.026552680858185
431,Carlos Hernandez,KC,SP,1,0,3,0,0,3.1,6,4,4,0,5,5,19,10.8,0.4,3.3,6.333333333333332,9.65605907695649
432,Mitch White,LAD,SP,0,0,3,0,0,4.1,3,0,0,0,2,2,19,0.0,0.2,1.15,6.333333333333332,13.417846356168235
433,Daniel Ponce de Leon,STL,SP,1,1,5,2,0,10.1,12,10,10,2,7,4,19,8.71,0.28600000000000003,1.84,3.8,16.097167602494544
434,Jon Lester,WSH,SP,0,0,1,1,0,5.0,5,0,0,0,2,1,18,0.0,0.263,1.4,18.0,13.49481584686801
435,Garrett Cleavinger,LAD,RP,0,1,3,0,0,3.0,4,2,1,1,2,4,18,3.0,0.308,2.0,6.0,10.6996042932812
436,Lewis Thorpe,MIN,SP,0,0,2,1,0,5.0,3,2,2,0,1,3,18,3.6,0.17600000000000002,0.8,9.0,11.09936416340532
437,Dinelson Lamet,SD,SP,0,0,1,1,0,2.0,1,0,0,0,1,4,18,0.0,0.14300000000000002,1.0,18.0,12.701434831397338
438,Miguel Diaz,SD,RP,0,0,1,1,0,3.0,1,0,0,0,2,3,18,0.0,0.1,1.0,18.0,14.199823355592743
439,Deivi García,NYY,SP,0,1,1,1,0,4.0,3,2,2,1,3,4,18,4.5,0.2,1.5,18.0,12.825565218639996
440,Robert Dugger,SEA,SP,0,0,2,0,0,5.0,4,2,2,1,1,3,18,3.6,0.211,1.0,9.0,10.572328178660642
441,Patrick Sandoval,LAA,SP,0,0,1,0,0,2.0,1,0,0,0,2,4,18,0.0,0.14300000000000002,1.5,18.0,13.26634110769338
442,Justin Lawrence,COL,RP,0,0,2,0,0,2.0,2,0,0,0,1,4,18,0.0,0.25,1.5,9.0,11.57258374440543
443,Kodi Whitley,STL,RP,0,0,4,0,0,5.0,3,2,2,1,2,3,18,3.6,0.16699999999999998,1.0,4.5,11.77958636899564
444,Wade LeBlanc,BAL,SP,0,1,6,1,0,6.2,11,7,7,1,1,6,17,9.45,0.355,1.8,2.833333333333333,6.15450636493089
445,Amir Garrett,CIN,RP,0,1,11,0,2,8.2,10,10,10,4,8,7,17,10.39,0.278,2.08,1.5454545454545454,14.957572297597803
446,Cam Bedrosian,CIN,RP,0,0,6,0,0,5.2,10,7,7,2,6,7,17,11.12,0.4,2.82,2.833333333333333,11.151816850829626
447,Yency Almonte,COL,RP,0,1,11,0,0,8.2,13,12,12,3,7,9,17,12.46,0.361,2.31,1.5454545454545454,12.165798829547239
448,Adrian Morejon,SD,SP,0,0,2,2,0,4.2,5,2,2,2,2,3,17,3.86,0.278,1.5,8.5,11.50110514588974
449,Travis Bergen,TOR,RP,0,0,3,1,0,3.2,2,0,0,0,1,2,17,0.0,0.154,0.82,5.666666666666668,12.564916876175658
450,Jesse Biddle,ATL,RP,0,0,4,0,0,5.1,5,5,5,1,2,5,16,8.44,0.25,1.31,4.0,9.004132481915956
451,Shawn Armstrong,BAL,RP,0,0,11,0,0,8.1,10,11,10,3,7,7,16,10.8,0.28600000000000003,2.04,1.4545454545454546,13.26126512125031
452,Blake Taylor,HOU,SP,0,0,7,0,0,5.1,8,5,4,2,2,4,16,6.75,0.333,1.88,2.2857142857142856,8.340848709923836
453,Jordan Weems,OAK,RP,0,0,4,0,0,3.1,1,1,1,1,1,3,16,2.7,0.091,0.6,4.0,11.270364581742898
454,Ty Tice,TOR,RP,0,0,2,0,0,4.1,3,2,2,1,2,3,16,4.15,0.188,1.15,8.0,11.565478784995358
455,Derek Holland,DET,RP,0,1,8,1,0,9.0,16,13,13,2,6,9,15,13.0,0.364,2.44,1.875,10.861984508504106
456,Nick Ramirez,SD,RP,0,0,5,0,0,7.0,9,6,6,2,1,4,15,7.71,0.31,1.43,3.0,7.430663270719332
457,Zack Godley,MIL,SP,0,1,1,1,0,3.0,1,4,3,0,5,5,15,9.0,0.1,2.0,15.0,12.927682919167617
458,Chris Devenski,ARI,RP,1,0,4,0,1,4.0,5,4,4,2,0,3,15,9.0,0.294,1.25,3.75,5.80354474097947
459,Zack Burdi,CHW,RP,0,0,1,0,0,3.0,3,2,1,1,1,3,15,3.0,0.273,1.33,15.0,10.440404186037266
460,Reyes Moronta,SF,RP,0,0,4,0,0,4.0,1,1,1,1,0,2,15,2.25,0.077,0.25,3.75,10.483331408981792
461,Nivaldo Rodriguez,HOU,SP,0,0,1,0,0,3.0,2,1,1,1,2,3,15,3.0,0.2,1.33,15.0,11.991482291448907
462,Kyle Ryan,CHC,RP,0,0,2,0,0,2.2,3,0,0,0,1,2,14,0.0,0.273,1.5,7.0,11.440811490007215
463,Daniel Lynch,KC,SP,0,0,1,1,0,4.2,4,3,3,0,4,3,14,5.79,0.25,1.71,14.0,13.2907322657037
464,Sean Poppen,PIT,RP,0,0,3,0,0,4.2,11,7,4,1,2,4,14,7.71,0.478,2.79,4.666666666666667,7.029008994093295
465,Collin McHugh,TB,RP,0,1,4,0,0,5.1,12,8,6,1,1,5,13,10.13,0.462,2.44,3.25,4.826479767469876
466,Brent Honeywell Jr.,TB,RP,0,0,3,2,0,4.1,5,4,4,2,3,4,13,8.31,0.278,1.85,4.333333333333333,10.176436240461792
467,Miguel Yajure,PIT,SP,0,1,1,1,0,4.1,4,4,4,2,2,4,13,8.31,0.25,1.39,13.0,9.555023980843918
468,Archie Bradley,PHI,RP,0,1,4,0,0,3.0,4,2,2,0,1,3,12,6.0,0.308,1.67,3.0,8.02017371115955
469,Albert Abreu,NYY,SP,0,0,2,0,0,2.0,0,1,1,0,2,3,12,4.5,0.0,1.0,6.0,11.604518442716598
470,Matt Bush,TEX,RP,0,0,3,0,0,3.0,4,3,3,3,1,4,12,9.0,0.308,1.67,4.0,6.6594124148453915
471,Ryne Harper,WSH,RP,0,0,2,0,0,3.0,2,1,1,0,1,2,12,3.0,0.2,1.0,6.0,10.774059570043379
472,Peter Solomon,HOU,SP,0,0,2,0,0,2.0,1,0,0,0,1,2,12,0.0,0.14300000000000002,1.0,6.0,12.224528775811104
473,Trevor Megill,CHC,RP,0,0,2,0,0,2.0,2,0,0,0,1,2,12,0.0,0.25,1.5,6.0,11.444127272076154
474,Kyle Nelson,CLE,RP,0,0,2,0,0,2.0,0,0,0,0,1,2,12,0.0,0.0,0.5,6.0,13.004930279546047
475,Anthony Swarzak,ARI,RP,0,1,6,0,0,4.2,7,5,5,1,1,4,11,9.64,0.35,1.71,1.8333333333333333,5.872483619974429
476,Chris Mazza,TB,RP,0,0,6,0,0,11.2,16,11,11,1,4,3,11,8.49,0.3720000000000001,1.71,1.8333333333333333,11.005430902980711
477,Peter Fairbanks,TB,RP,0,0,3,0,0,2.2,3,1,1,0,2,2,11,3.38,0.3,1.88,3.6666666666666665,10.546748233999313
478,Adam Kolarek,OAK,RP,0,0,8,0,0,5.1,8,6,5,2,2,3,10,8.44,0.308,1.88,1.25,7.274277927309161
479,Elieser Hernandez,MIA,SP,0,0,1,1,0,2.1,2,2,2,1,0,3,10,7.71,0.222,0.86,10.0,7.503505553064255
480,Enoli Paredes,HOU,SP,0,0,3,0,0,1.1,2,1,0,0,6,2,10,0.0,0.4,6.0,3.333333333333333,11.905785507897493
481,Burch Smith,OAK,RP,0,0,2,0,0,3.0,3,1,1,0,1,1,9,3.0,0.3,1.33,4.5,10.19071994204958
482,Domingo Tapia,SEA,RP,0,0,2,0,0,2.0,4,0,0,0,1,1,9,0.0,0.4,2.5,4.5,9.819096028441622
483,Brad Wieck,CHC,RP,0,0,1,0,0,1.0,1,0,0,0,1,2,9,0.0,0.25,2.0,9.0,10.806767545869379
484,James Hoyt,LAA,RP,0,0,1,0,0,0.2,0,0,0,0,2,2,8,0.0,0.0,3.0,8.0,10.767016289778313
485,Wyatt Mills,SEA,RP,0,0,2,0,0,2.2,2,2,2,1,1,2,8,6.75,0.2,1.13,4.0,8.669794160431675
486,James Paxton,SEA,SP,0,0,1,1,0,1.1,0,1,1,0,1,2,7,6.75,0.0,0.75,7.0,9.613164068673926
487,Anthony Kay,TOR,SP,0,1,1,1,0,3.1,6,5,4,0,0,3,7,10.8,0.375,1.8,7.0,4.55893705760653
488,Trevor Hildenberger,NYM,RP,0,0,2,0,0,2.1,3,4,4,1,3,4,7,15.43,0.3,2.57,3.5,5.333154363119213
489,Dan Altavilla,SD,RP,0,0,2,0,0,1.1,1,1,1,1,0,2,7,6.75,0.2,0.75,3.5,7.711672026895451
490,Zack Littell,SF,RP,0,0,2,0,0,1.1,0,0,0,0,2,1,7,0.0,0.0,1.5,3.5,12.88475691642441
491,Jay Flaa,BAL,RP,0,0,1,0,0,1.1,0,0,0,0,2,1,7,0.0,0.0,1.5,7.0,13.046923307408727
492,Luis Avilán,WSH,RP,0,1,4,0,0,5.0,7,7,7,1,3,4,6,12.6,0.333,2.0,1.5,7.3500687390123804
493,Luke Farrell,MIN,RP,0,0,1,0,0,1.0,0,0,0,0,2,1,6,0.0,0.0,2.0,6.0,12.27413028200838
494,Sam Selman,SF,RP,0,0,1,0,0,1.0,0,0,0,0,2,1,6,0.0,0.0,2.0,6.0,12.27413028200838
495,Bailey Falter,PHI,SP,0,0,1,0,0,2.0,4,2,2,1,0,2,6,9.0,0.444,2.0,6.0,4.841190617678459
496,Louis Head,TB,RP,0,0,3,0,0,4.0,4,3,3,0,2,1,6,6.75,0.28600000000000003,1.5,2.0,9.456490858878945
497,Zac Lowther,BAL,SP,0,0,1,0,0,1.0,1,0,0,0,0,1,6,0.0,0.25,1.0,6.0,10.759850170270754
498,Nick Sandlin,CLE,RP,0,0,1,0,0,1.0,0,0,0,0,0,1,6,0.0,0.0,0.0,6.0,12.308752003140379
499,Edwin Uceta,LAD,SP,0,1,1,1,0,2.0,4,2,2,1,1,2,6,9.0,0.5,2.5,6.0,5.819969749505086
500,Eduard Bazardo,BOS,RP,0,0,1,0,0,1.0,0,0,0,0,2,1,6,0.0,0.0,2.0,6.0,12.27413028200838
501,Chris Martin,ATL,RP,0,1,2,0,0,1.2,4,1,1,0,1,1,5,5.4,0.444,3.0,2.5,6.401130329960958
502,Edgar Santana,ATL,RP,0,0,2,0,0,1.2,2,1,1,1,0,1,5,5.4,0.333,1.2,2.5,7.609086109139783
503,Jesse Hahn,KC,RP,0,0,5,0,1,3.1,5,5,5,2,4,3,4,13.5,0.35700000000000004,2.7,0.8,7.0288699203377
504,Brandon Waddell,MIN,SP,0,0,3,0,0,3.1,7,3,3,1,3,1,4,8.1,0.412,3.0,1.3333333333333333,7.9139892998037755
505,Jake Newberry,KC,RP,0,0,4,0,0,4.1,10,8,8,2,3,5,4,16.62,0.476,3.0,1.0,3.7593580832262194
506,Ramón Rosso,PHI,SP,0,0,1,0,0,1.1,1,0,0,0,0,0,4,0.0,0.25,0.75,4.0,11.084164794939122
507,Dellin Betances,NYM,RP,0,0,1,0,0,1.0,0,1,1,0,1,1,3,9.0,0.0,1.0,3.0,7.872607957795681
508,Mike Kickham,LAD,RP,0,0,1,0,0,2.0,5,3,3,1,1,2,3,13.5,0.5,3.0,3.0,2.596149040949415
509,Keegan Thompson,CHC,SP,0,0,1,0,0,1.0,2,0,0,0,1,0,3,0.0,0.5,3.0,3.0,9.129409240670485
510,Brooks Kriske,NYY,RP,0,0,1,0,0,1.0,1,1,1,1,2,1,3,9.0,0.25,3.0,3.0,6.284943778142173
511,Alex Vesia,LAD,RP,0,1,1,0,0,1.0,0,4,2,0,4,2,3,18.0,0.0,4.0,3.0,3.4684026322529196
512,Joakim Soria,ARI,RP,0,0,1,0,0,0.2,0,0,0,0,2,0,2,0.0,0.0,3.0,2.0,10.638559817449044
513,Chaz Roe,TB,RP,0,0,1,0,0,0.2,1,2,2,0,1,2,2,27.0,0.333,3.0,2.0,-4.008248338514532
